Symbol,Name,Country,IPO Year,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,Industrials,Aluminum
AACI,Armada Acquisition Corp. I Common Stock,United States,2021,Finance,Blank Checks
AACIU,Armada Acquisition Corp. I Unit,United States,2021,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,United States,2021,Finance,Blank Checks
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,Real Estate,Real Estate Investment Trusts
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,United States,2020,Finance,Investment Managers
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts
ABSI,Absci Corporation Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,United States,2015,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,United States,2018,Industrials,Metal Fabrications
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,United States,2022,Finance,Blank Checks
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,United States,2022,Finance,Blank Checks
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,United States,2022,Finance,Blank Checks
ACACU,Acri Capital Acquisition Corporation Unit,United States,2022,Finance,Blank Checks
ACACW,Acri Capital Acquisition Corporation Warrant,United States,2022,Finance,Blank Checks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,2021,Finance,Blank Checks
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,United States,2021,Finance,Blank Checks
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,United States,2022,Health Care,Other Pharmaceuticals
ACAXR,Alset Capital Acquisition Corp. Right,United States,2022,Health Care,Other Pharmaceuticals
ACAXU,Alset Capital Acquisition Corp. Unit,United States,2022,Health Care,Other Pharmaceuticals
ACAXW,Alset Capital Acquisition Corp. Warrant,United States,2022,Health Care,Other Pharmaceuticals
ACCD,Accolade Inc. Common Stock,United States,2020,Consumer Discretionary,Business Services
ACDC,ProFrac Holding Corp. Class A Common Stock,United States,2022,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,United States,2017,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACET,Adicet Bio Inc. Common Stock ,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ACHR,Archer Aviation Inc. Class A Common Stock,United States,2020,Industrials,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,Consumer Staples,Food Chains
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,United States,2007,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,Technology,Industrial Machinery/Components
ACON,Aclarion Inc. Common Stock,United States,2022,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,United States,2022,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,United States,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,2011,Finance,Investment Managers
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,United States,2022,Health Care, Medicinal Chemicals and Botanical Products 
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,2011,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,United States,2021,Finance,Specialty Insurers
ACU,Acme United Corporation. Common Stock,United States,1988,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ADBE,Adobe Inc. Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software
ADEA,Adeia Inc. Common Stock,United States,2003,Technology,Computer Software: Prepackaged Software
ADER,26 Capital Acquisition Corp. Class A Common Stock,United States,2021,Finance,Blank Checks
ADERU,26 Capital Acquisition Corp. Unit,United States,2021,Finance,Blank Checks
ADERW,26 Capital Acquisition Corp. Warrant,United States,2021,Finance,Blank Checks
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,Miscellaneous,Industrial Machinery/Components
ADNT,Adient plc Ordinary Shares ,United States,2016,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,Utilities,Power Generation
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCR,Edoc Acquisition Corp. Right,United States,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADT,ADT Inc. Common Stock,United States,2018,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,United States,2021,Consumer Discretionary,Advertising
ADTHW,AdTheorent Holding Company Inc. Warrants,United States,2021,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings Inc. Common Stock,United States,1994,Telecommunications,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,Consumer Discretionary,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,United States,2019,Consumer Discretionary,Advertising
AE,Adams Resources & Energy Inc. Common Stock,United States,1980,Energy,Oil Refining/Marketing
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,United States,2021,Finance,Blank Checks
AEAEW,AltEnergy Acquisition Corp. Warrant,United States,2021,Finance,Blank Checks
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,United States,2019,,
AEHR,Aehr Test Systems Common Stock,United States,1997,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),United States,2020,Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,Technology,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company Common Stock,United States,2003,Finance,Life Insurance
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,2002,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,2017,Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,United States,2021,Real Estate,Real Estate Investment Trusts
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,2019,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,2019,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,2020,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,2020,,
AFIB,Acutus Medical Inc. Common Stock,United States,2020,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Business Services
AGAE,Allied Gaming & Entertainment Inc. Common Stock,United States,2017,Telecommunications,Cable & Other Pay Television Services
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,2006,Finance,Trusts Except Educational Religious and Charitable
AGEN,Agenus Inc. Common Stock,United States,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,United States,2021,Consumer Discretionary,Military/Government/Technical
AGIL,AgileThought Inc. Class A Common Stock,United States,2020,Consumer Discretionary,Professional Services
AGILW,AgileThought Inc. Warrant,United States,2020,Consumer Discretionary,Professional Services
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,United States,2021,Health Care,Managed Health Care
AGLE,Aeglea BioTherapeutics Inc. Common Stock,United States,2016,Health Care,Biotechnology: Pharmaceutical Preparations
AGNC,AGNC Investment Corp. Common Stock,United States,2008,Real Estate,Real Estate Investment Trusts
AGR,Avangrid Inc. Common Stock,United States,2015,Utilities,Electric Utilities: Central
AGRX,Agile Therapeutics Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGS Inc. Common Stock,United States,2018,Consumer Discretionary,Miscellaneous manufacturing industries
AGTI,Agiliti Inc. Common Stock,United States,2021,Health Care,Managed Health Care
AHCO,AdaptHealth Corp. Common Stock,United States,2018,Health Care,Medical/Nursing Services
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,Finance,Real Estate
AHT,Ashford Hospitality Trust Inc Common Stock,United States,2003,Real Estate,Real Estate Investment Trusts
AI,C3.ai Inc. Class A Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software
AIB,AIB Acquisition Corporation Class A Ordinary Shares,United States,2022,Finance,Blank Checks
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,2015,Real Estate,Real Estate Investment Trusts
AIM,AIM ImmunoTech Inc. Common Stock,United States,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMAU,Aimfinity Investment Corp. I Unit,United States,2022,Finance,Blank Checks
AINC,Ashford Inc. (Holding Company) Common Stock,United States,2014,Consumer Discretionary,Professional Services
AIP,Arteris Inc. Common Stock,United States,2021,Technology,Semiconductors
AIRC,Apartment Income REIT Corp. Common Stock,United States,2020,Real Estate,Real Estate Investment Trusts
AIRG,Airgain Inc. Common Stock,United States,2016,Technology,Radio And Television Broadcasting And Communications Equipment
AIRS,AirSculpt Technologies Inc. Common Stock,United States,2021,Health Care,Medical/Nursing Services
AIV,Apartment Investment and Management Company Common Stock,United States,1994,Real Estate,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,United States,2004,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,2020,Finance,Property-Casualty Insurers
AJX,Great Ajax Corp. Common Stock,United States,2015,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,2017,Real Estate,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,Consumer Discretionary,Business Services
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AKLI,Akili Inc. Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
AKYA,Akoya BioSciences Inc. Common Stock,United States,2021,Industrials,Medical Specialities
AL,Air Lease Corporation Class A Common Stock,United States,2011,Consumer Discretionary,Diversified Commercial Services
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,United States,2023,Finance,Blank Checks
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,United States,2023,Finance,Blank Checks
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
ALEC,Alector Inc. Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
ALGM,Allegro MicroSystems Inc. Common Stock,United States,2020,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,2001,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ALGT,Allegiant Travel Company Common Stock,United States,2006,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,United States,2021,Health Care,Medical Specialities
ALIM,Alimera Sciences Inc. Common Stock,United States,2010,Health Care,Biotechnology: Pharmaceutical Preparations
ALIT,Alight Inc. Class A Common Stock,United States,2021,Technology,EDP Services
ALKT,Alkami Technology Inc. Common Stock,United States,2021,Technology,EDP Services
ALLE,Allegion plc Ordinary Shares,United States,2013,Consumer Discretionary,Diversified Commercial Services
ALLK,Allakos Inc. Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ALLO,Allogene Therapeutics Inc. Common Stock,United States,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLY,Ally Financial Inc. Common Stock,United States,2014,Finance,Major Banks
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,2004,Health Care,Biotechnology: Pharmaceutical Preparations
ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share,United States,2022,Finance,Blank Checks
ALOT,AstroNova Inc. Common Stock,United States,1983,Technology,Computer peripheral equipment
ALPN,Alpine Immune Sciences Inc. Common Stock,United States,2015,Health Care,Biotechnology: Pharmaceutical Preparations
ALRM,Alarm.com Holdings Inc. Common Stock,United States,2015,Technology,Computer Software: Prepackaged Software
ALRN,Aileron Therapeutics Inc. Common Stock,United States,2017,Health Care,Biotechnology: Pharmaceutical Preparations
ALRS,Alerus Financial Corporation Common Stock,United States,2019,Finance,Major Banks
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,United States,2022,Finance,Blank Checks
ALSAR,Alpha Star Acquisition Corporation Rights,United States,2022,Finance,Blank Checks
ALSAW,Alpha Star Acquisition Corporation Warrants,United States,2022,Finance,Blank Checks
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,2012,Consumer Discretionary,Auto Parts:O.E.M.
ALTG,Alta Equipment Group Inc. Class A Common Stock,United States,2019,Industrials,Industrial Machinery/Components
ALTI,AlTi Global Inc. Class A Common Stock,United States,2021,Finance,Investment Managers
ALTR,Altair Engineering Inc. Class A Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software
ALTU,Altitude Acquisition Corp. Class A Common Stock,United States,2021,Finance,Blank Checks
ALTUW,Altitude Acquisition Corp. Warrant,United States,2021,Finance,Blank Checks
ALVR,AlloVir Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ALXO,ALX Oncology Holdings Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ALZN,Alzamend Neuro Inc. Common Stock,United States,2021,Health Care, Medicinal Chemicals and Botanical Products 
AM,Antero Midstream Corporation Common Stock,United States,2017,Utilities,Natural Gas Distribution
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States,2018,Finance,Commercial Banks
AMAO,American Acquisition Opportunity Inc. Class A Common Stock,United States,2021,Miscellaneous,Multi-Sector Companies
AMAOW,American Acquisition Opportunity Inc. Warrant,United States,2021,Miscellaneous,Multi-Sector Companies
AMAT,Applied Materials Inc. Common Stock,United States,1972,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,United States,2012,Technology,Semiconductors
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,United States,2013,Consumer Discretionary,Movies/Entertainment
AMGN,Amgen Inc. Common Stock,United States,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,United States,2013,Real Estate,Real Estate Investment Trusts
AMK,AssetMark Financial Holdings Inc. Common Stock,United States,2019,Finance,Investment Managers
AMKR,Amkor Technology Inc. Common Stock,United States,1998,Technology,Semiconductors
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
AMPE,Ampio Pharmaceuticals Inc.,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AMPX,Amprius Technologies Inc. Common Stock,United States,2022,Miscellaneous,Industrial Machinery/Components
AMPY,Amplify Energy Corp. Common Stock,United States,2016,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States,2018,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,United States,2010,Consumer Discretionary,Engineering & Construction
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,United States,1988,Health Care,Medical Specialities
AMSC,American Superconductor Corporation Common Stock,United States,1991,Consumer Discretionary,Metal Fabrications
AMSF,AMERISAFE Inc. Common Stock,United States,2005,Finance,Accident &Health Insurance
AMST,Amesite Inc. Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software
AMTI,Applied Molecular Transport Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
AMWD,American Woodmark Corporation Common Stock,United States,1986,Basic Materials,Forest Products
AMWL,American Well Corporation Class A Common Stock,United States,2020,Technology,Retail: Computer Software & Peripheral Equipment
AMZN,Amazon.com Inc. Common Stock,United States,1997,Consumer Discretionary,Catalog/Specialty Distribution
ANAB,AnaptysBio Inc. Common Stock,United States,2017,Health Care,Biotechnology: Pharmaceutical Preparations
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ANET,Arista Networks Inc. Common Stock,United States,2014,Telecommunications,Computer Communications Equipment
ANGO,AngioDynamics Inc. Common Stock,United States,2004,Health Care,Medical/Dental Instruments
ANNX,Annexon Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ANSS,ANSYS Inc. Common Stock,United States,1996,,
ANTX,AN2 Therapeutics Inc. Common Stock,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
ANVS,Annovis Bio Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ANZU,Anzu Special Acquisition Corp I Class A Common Stock,United States,2021,Finance,Blank Checks
ANZUU,Anzu Special Acquisition Corp I Units,United States,2021,Finance,Blank Checks
ANZUW,Anzu Special Acquisition Corp I Warrant,United States,2021,Finance,Blank Checks
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,2007,Finance,Investment Managers
AOGO,Arogo Capital Acquisition Corp. Class A Common Stock,United States,2022,Technology,Computer Software: Prepackaged Software
AOGOW,Arogo Capital Acquisition Corp. Warrant,United States,2022,Technology,Computer Software: Prepackaged Software
AOMR,Angel Oak Mortgage REIT Inc. Common Stock,United States,2021,Real Estate,Real Estate Investment Trusts
APAC,StoneBridge Acquisition Corporation Class A Ordinary Shares,United States,2021,Finance,Blank Checks
APACW,StoneBridge Acquisition Corporation Warrant,United States,2021,Finance,Blank Checks
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,United States,2013,Finance,Investment Managers
APEI,American Public Education Inc. Common Stock,United States,2007,Consumer Discretionary,Other Consumer Services
APGE,Apogee Therapeutics Inc. Common Stock,United States,2023,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APLD,Applied Digital Corporation Common Stock,United States,2022,Finance,Investment Bankers/Brokers/Service
APLE,Apple Hospitality REIT Inc. Common Shares,United States,2015,Real Estate,Real Estate Investment Trusts
APLS,Apellis Pharmaceuticals Inc. Common Stock,United States,2017,Health Care,Biotechnology: Pharmaceutical Preparations
APLT,Applied Therapeutics Inc. Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
APP,Applovin Corporation Class A Common Stock,United States,2021,Technology,EDP Services
APPF,AppFolio Inc. Class A Common Stock,United States,2015,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software
APRE,Aprea Therapeutics Inc. Common stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
APRN,Blue Apron Holdings Inc. Class A Common Stock,United States,2017,Consumer Discretionary,Catalog/Specialty Distribution
APTM,Alpha Partners Technology Merger Corp. Class A Ordinary Shares,United States,2021,,
APTMU,Alpha Partners Technology Merger Corp. Unit,United States,2021,,
APTMW,Alpha Partners Technology Merger Corp. Warrant,United States,2021,,
AQMS,Aqua Metals Inc. Common Stock,United States,2015,Industrials,Metal Fabrications
AQN,Algonquin Power & Utilities Corp. Common Shares,United States,2016,Utilities,Electric Utilities: Central
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,United States,2018,Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,United States,2019,Utilities,Electric Utilities: Central
AQNU,Algonquin Power & Utilities Corp. Corporate Units,United States,2021,Utilities,Electric Utilities: Central
AQST,Aquestive Therapeutics Inc. Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
AQU,Aquaron Acquisition Corp. Common Stock,United States,2022,Finance,Blank Checks
AQUNR,Aquaron Acquisition Corp. Rights,United States,2022,Finance,Blank Checks
AR,Antero Resources Corporation Common Stock,United States,2013,Energy,Oil & Gas Production
ARAV,Aravive Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
ARAY,Accuray Incorporated Common Stock,United States,2007,Health Care,Medical/Dental Instruments
ARC,ARC Document Solutions Inc. Common Stock,United States,2004,Consumer Discretionary,Professional Services
ARCC,Ares Capital Corporation Common Stock,United States,2004,Finance,Finance: Consumer Services
ARCH,Arch Resources Inc. Class A Common Stock,United States,2016,Energy,Coal Mining
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,United States,2012,Finance,Investment Managers
ARDX,Ardelyx Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AREN,The Arena Group Holdings Inc. Common Stock,United States,2022,Health Care,Medical/Dental Instruments
ARES,Ares Management Corporation Class A Common Stock,United States,2014,Finance,Investment Managers
ARHS,Arhaus Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Other Specialty Stores
ARI,Apollo Commercial Real Estate Finance Inc,United States,2009,Real Estate,Real Estate Investment Trusts
ARIS,Aris Water Solutions Inc. Class A Common Stock,United States,2021,Utilities,Water Supply
ARIZ,Arisz Acquisition Corp. Common Stock,United States,2021,Finance,Blank Checks
ARIZR,Arisz Acquisition Corp. Right,United States,2021,Finance,Blank Checks
ARIZW,Arisz Acquisition Corp. Warrant,United States,2021,Finance,Blank Checks
ARLO,Arlo Technologies Inc. Common Stock,United States,2018,Consumer Staples,Consumer Electronics/Appliances
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,United States,1999,Energy,Coal Mining
ARMK,Aramark Common Stock,United States,2013,Consumer Discretionary,Restaurants
ARQT,Arcutis Biotherapeutics Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ARRW,Arrowroot Acquisition Corp. Class A common stock,United States,2021,Finance,Blank Checks
ARRWU,Arrowroot Acquisition Corp. Unit,United States,2021,Finance,Blank Checks
ARRWW,Arrowroot Acquisition Corp. Warrant,United States,2021,Finance,Blank Checks
ARRY,Array Technologies Inc. Common Stock,United States,2020,Technology,Semiconductors
ARTE,Artemis Strategic Investment Corporation Class A Common Stock,United States,2021,Finance,Blank Checks
ARTEU,Artemis Strategic Investment Corporation Unit,United States,2021,Finance,Blank Checks
ARVN,Arvinas Inc. Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ARYD,ARYA Sciences Acquisition Corp IV Class A Odinary Shares,United States,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASAN,Asana Inc. Class A Common Stock,United States,2020,Technology,Retail: Computer Software & Peripheral Equipment
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,United States,2023,Finance,Major Banks
ASGN,ASGN Incorporated Common Stock,United States,1992,Technology,EDP Services
ASIX,AdvanSix Inc. Common Stock ,United States,2016,Industrials,Major Chemicals
ASLE,AerSale Corporation Common Stock,United States,2019,Consumer Discretionary,Industrial Specialties
ASMB,Assembly Biosciences Inc. Common Stock,United States,2010,Health Care,Biotechnology: Pharmaceutical Preparations
ASNS,Actelis Networks Inc. Common Stock,United States,2022,Telecommunications,Telecommunications Equipment
ASO,Academy Sports and Outdoors Inc. Common Stock,United States,2020,Consumer Discretionary,Recreational Games/Products/Toys
ASPA,ABRI SPAC I INC. Common Stock,United States,2021,Finance,Finance: Consumer Services
ASPAW,ABRI SPAC I INC. Warrant,United States,2021,Finance,Finance: Consumer Services
ASPI,ASP Isotopes Inc. Common Stock,United States,2022,Industrials,Major Chemicals
ASPN,Aspen Aerogels Inc. Common Stock,United States,2014,Consumer Discretionary,RETAIL: Building Materials
ASST,Asset Entities Inc. Class B Common Stock,United States,2023,Technology,Computer Software: Prepackaged Software
ASTE,Astec Industries Inc. Common Stock,United States,1986,Industrials,Construction/Ag Equipment/Trucks
ASTR,Astra Space Inc. Class A Common Stock,United States,2020,Consumer Discretionary,Transportation Services
ASTS,AST SpaceMobile Inc. Class A Common Stock,United States,2019,Consumer Discretionary,Telecommunications Equipment
ASTSW,AST SpaceMobile Inc. Warrant,United States,2019,Consumer Discretionary,Telecommunications Equipment
ATAK,Aurora Technology Acquisition Corp. Class A Ordinary Shares,United States,2022,Finance,Blank Checks
ATAKU,Aurora Technology Acquisition Corp. Unit,United States,2022,Finance,Blank Checks
ATAKW,Aurora Technology Acquisition Corp. Warrants,United States,2022,Finance,Blank Checks
ATEC,Alphatec Holdings Inc. Common Stock,United States,2006,Health Care,Medical/Dental Instruments
ATEN,A10 Networks Inc. Common Stock,United States,2014,Technology,EDP Services
ATER,Aterian Inc. Common Stock,United States,2019,Consumer Discretionary,Home Furnishings
ATEX,Anterix Inc. Common Stock,United States,2015,Telecommunications,Telecommunications Equipment
ATHA,Athira Pharma Inc. Common Stock,United States,2020,Health Care, Medicinal Chemicals and Botanical Products 
ATKR,Atkore Inc. Common Stock,United States,2016,Miscellaneous,Industrial Machinery/Components
ATLC,Atlanticus Holdings Corporation Common Stock,United States,1995,Finance,Finance: Consumer Services
ATMC,AlphaTime Acquisition Corp Ordinary Shares,United States,2023,Finance,Blank Checks
ATMCR,AlphaTime Acquisition Corp Right,United States,2023,Finance,Blank Checks
ATMCU,AlphaTime Acquisition Corp Unit,United States,2022,Finance,Blank Checks
ATMCW,AlphaTime Acquisition Corp Warrant,United States,2023,Finance,Blank Checks
